name,norad_id,uplink,downlink,beacon,mode,callsign,satnogs_id
SITRO-AIS-56,59778,,401.215,,2k4 GMSK_USP,SC2344,RBPP-4436-6355-8978-8861
SITRO-AIS-57,67256,,401.002,,2k4 GMSK_USP,SC2371,
SITRO-AIS-61,67297,,401.077,,2k4 GMSK_USP,SC2349,
SITRO-TD-3,67270,,401.173,,2k4 GMSK_USP,SC2345,
SITRO-TD-4,67265,,401.197,,2k4 GMSK_USP,SC2354,
SMOG-P,44832,,437.150,,12.5kbps GMSK,,NVJW-1778-4425-6707-0234
SNIPE-B,56745,,436.000,,4800bps MSK_AX.100_Mode 5,,KZDM-2447-6592-4881-9320
SNIPE-D,56744,,437.800,,4800bps MSK_AX.100_Mode 5,,EOVQ-9559-0511-0103-2591
SNUGLITE-III-DURI,66661,,436.788/2405.000,,9600bps GMSK,DS0DH,
SOMP,39134,,437.485,437.503,1200bps AFSK CW*,DP0TUD,FVYN-9469-5031-2236-7972
SOMP-2B,47445,,435.600,,9600bps GMSK,DP2TUD,CNSB-9144-5783-1816-8289
SONATE-2,59112,145.825,145.880/437.025*,145.840,1k2AFSK/9k6*GMSK APRS SSTV CW,,PBTZ-3525-0189-2410-5216
SO-50,27607,145.850,436.795,,FM* tone 67.0Hz,,IRES-5964-9687-1982-0089
SO-124,62690,145.925,436.888,436.888,200*-2k4 FSK FM CW*,,EIPI-1482-6978-9759-4787
SO-125,63492,145.875,436.666,436.666,200*-2k4_USB FM CW,,TPAP-4475-7915-0965-4305
Sparrow,43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS,QTXY-8933-7836-7484-6250
SpIRIT,58468,,401.895,,9600bps FSK,,QFRO-8807-8086-2793-1420
SPIRONE,66657,,436.650/2425.100,,9600bps GMSK,GK0FX,
STARS-mother,33498,,437.485,437.305,1200bps FM CW*,JR5YBN,RCSI-2248-9538-7513-4618
STARS-daughter,33498,,437.465,437.275,1200bps FM CW*,JR5YBO,RCSI-2248-9538-7513-4618
STRaND-1,39090,,437.568,,9600bps GMSK,,IFDT-2351-8184-5400-1710
